QueryText,KccAns
ask about fungus in neem,use mencozeb 20gmpump
sucking pest in jasud,use immida  acephate
variety of drumstick,use pkm-1 kokan ruchira
asking about last irrigation in wheat,prefer 90-95 days after sowing
asking sucking pest in sesamum,prefer trizophos 20mlpump
asking time of sowing of papaya,prefer april- may
asking from where to get the seeds of kankoda,gave the contact noof seed agency
asking variety of sesamum,prefer guj til-12
asking about seed agency phone number,give phone number
subsidy on tractor,advice to contect to gram sevak or agri officer
sowing time of sesamum,sowing in feb-march
asking fertiliser dose in rose,advice to use 50-50-50 npk gmtree
ask about subsidy on soyabean,availble  contact to agril officer
ask about sucking pest in cumin,use emida chlopride 8mlacephate 10gmpump
ask about minimum price of rice,no information available
asking of heliothis in brinjal,use quinilphos 20mlpump
asking of wilt in wheat,use mancozeb 25gmpump
for contact no of charodi farm,give contact no farm
asking contact no of nearest nursery,give contact no of nearest nursery
ask about bt cotton variety,give information
ask about sucking pest in sorghum,use emida chlopride 6mlacephate 6gmpump
ask about seed corporation,give contact no of seed corporation
ask about garin storage,advise to use aluminum phosphide
how to propegate the tulsi,through cutting or seed
for the testing,-
ask for sab sidy in vermy compost,sab sidy up to 50 
for subcidy of pump set,75 subcidy is given
for vareity of paddy,preffered jayagurjari
askf or the not seedling in sesamum,due to the environment
asking for bonsai,give contact noof university
testing call,testing call
asking about subsidy,advice to contact to the district development officer
heliothis in cumin,use quinalphos 25-30nlpump
for loan of cattle shed,advice to contact nationalised bank
ask for the sab sidy in rotover,use of 30000 or 50 sab sidyq
asking about subsidy of tractor,i have given information
for vareity of guava,allahbad safedadholka lakhnau-49
wilt in lemon,use mancozeb 25-30gmpump
for contact noof horticulture department,give contact no
heliothis in brinjal,use quinalphos 25-30mlpump
for arometica plant,give required information
testing call,testing call
market prise of cumin,it is near by 8700-10280rsqtl
wilt in maize,use mancozeb 25-30gmpump
ask for the commodity price of cumin,give the price
asking of thrips in sesamum,use imidacloprid 6mlacephate 15gmpump
asking of root rot in sesamum,use mancozeb 15gmpump
ask about loan for land,give propar information
ask about plantation in plot,give propar information
asking of loan,advice for contect ot national bank
asking about low milk production in cow,use minfa powder mineral mixturedan
ask about loan on cattleshed,advise to contact multinational bank
asking of root rot in sesamum,use mancozeb 25gmpump
subsidy on tractor,advice to contect to agri officer
smut in wheat,use mencozeb 25gmpump
ask about plantation,give propar information
asking of thrips in asalio,use imidacloprid 8mlacephate 10gmpump
blight in cumin,use mencozeb 25gmpump
ask about thripplantation,give propar information
asking of blight in cumin,use mancozeb 25gmpump
asking information about getting kisan credit card,advice to contact to nationalised bank
ask about plantation,give propar information
ask about loan for farming,advise to contact multinational bank
asking of sowing time of sesamum,advice for january to february
asking of weed control in sesamum,advice for hand weeding
asking of sowing time of okra,advice for february to march
ask about plantation at garden,give propar information
asking of thrips in sesamum,use imidacloprid 6mlacephate 10gmpump
asking of root rot in sesamum,use mancozeb 15gmpump
-------,-------
ask about sucking pest in seasemum,use emida chlopride 8mlacephate 8gmpump
ask for the varities of termeric,use of sugandham and kesar
asking about subsidy for fertiliser,please contact to the district devlopment officer
variety of sesamum,prfere gujsesamum 1210
askf or the sucking pest in papaya,use of imidacloprid 7mlpump
asking information about getting subsidy on fencing,advice to contact to taluka development officer or gram sevak
wilt in wheat,use mencozeb 25gmpump
subsidy on tractor,contect to agri officer
sowing time of moong,sowing in feb-march
asking blight in cumin,use mencozeb 25gmpump
ask about wilt in seasemum,use mencozeb 20gmpump
ask about planting distance in brinjle,90cm60cm
variety of mustard,use guj mustard-12
asking of blight in cumin,use mancozeb 25gmpump
asking of varity of caster,use gauh-1gch-2456
ask about subsidy in cumin,available 40
asking subsidy in pipeline,60 or 6000rs whichever is low is given as subsidy
asking about crop insurance,give proper information
asking wilt in wheat,prefer mencozeb 35gmpump
asking of sowing time of urd,advice for february to march
asking seed of aloe vera,contact to seed corporation
ask about land,advise to contact talati
ask for the heliothis in brinjal,use of indoxicarb 20mlpump
heliothis in brinjal,use quinalphos 25-30mlpump
for subcidy of rotavator,50 subcidy is given
variety of moong,k-851 gujarat moong-12
asking information about getting booklet of agriculture,gave the contact noof anand agriculture officer
for control of cumin blight,spray mencozeb 35gmpump
asking about loan,advice to contact to the nationalise bank
asking information from where to get drip-irrigation,advice to contact to gnfc or gsfc depo
asking about ggrc contact number,i have given number
for control of sucking pest in groundnut,spray imidacloprid 8ml acephate 10gmpump
heliothis in caster,use endosulfan 15mlpump
asking contact no of soil testing lab,give him contact no
asking of root rot in sesamum,use mancozeb 15gmpump
for control of rotting of moong,use hexaclonozole 25mlpump
asking control for sucking pest in kasmubi,advice to use imidacloprid 5-7ml  acefate powder 10gmpump
ask about plantation of aloevera,give detailed information
asking variety in seasamum,prefer gs 1210
asking for garden lawn,advice to contact agriculture university
asking of varity of moong,use k-851gujarat 1234
subsidy on okra,no subsidy
asking powdery mildew in cumin,prefer wettable sulfur 35gmpump
sowing time of moong,sowing in feb-march
asking of price of fenel,advice for 4500 to 5550 rsquintal
variety of moong,prfer gujmoong-1234
asking about taking lawn for buffelo,advice to give contact to nationalise bank
asking athracnose in mango,prefer carbendezim 25 gmpump
asking control of nilgai,prefer fencing
market price of tobbaco,give proper information
heliothis in onion,use quinalphos 15-20mlpump
asking fertileser in mango,prefer 40 kg as 10 kg super phosphate 1250 kg mop
asking powdery mildew in dill seed,prefer watable sulphur 25 gmpump
asking blight in cumin,prefer carbendezim 25 gmpump
asking wilt in grame,prefer haxaconasol 20 mlpump
asking haliothis in brinjal,prefer indoxicarp 20 mlpump
asking for selling of safflower,advice to contact to apmc market of ahmedabad
asking irrigation in cumin,prefer irrigation not given
asking contact no of apmcahmedabad,give contact no of apmc ahmedabad
asking variety of moong,k-851 gujarat moong-123
asking price of wheat,price of wheat rs1005qnt
aking of thrips in sesamum,use imidacloprid 6mlacephate 10gmpump
asking of varity of moong,use k-851gujarat 1234
heliothis and sucking pest in rajko,advice to spray rocket 1520mlpump
asking for getting breed of buffalo,advice to contact to nearest agriculture university
asking information about getting books of agriculture,advice to contact to anand agriculture university
for control of sucking pest in lucern,spray imidacloprid 8mlpump
asking information about getting subsidy on gypsum,advice to contact to taluka development officer
variety of moong,k851gujmoong1234
asking control for smut in wheat,advice to use mancozeb powder 35gmpump
asking control for heliothis in gram,adivce to use indoxicarb 20mlpump
ask for soil testing,gave the contact noof soil testing lab of ahmedabad
ask for sucking pest in sesamum,advice to use imidcloprid 57ml  acefate powder 10gmpump
ask sucking pest in lucerne,advice to use imidacloprid 57ml  acefate powder 10gmpump
for subcidy of pumpset,50 subcidy is given
asking control for mealy bug,advice to use methly parathion 25kghac and do dusting
asking information about getting subsidy on gypsum,it is about 50
for subcidy of pumpset,50 subcidy is given
asking for use of gypsum,it is depend on soil testing
asking variety of gram,advice to grow gujmoong12chafa
for variety of wheat,gw496366173
ask for the root rot in cumin,use of hexaclonazol 20mlpump
ask mealy bag in cotton,use of methayl parathion 25kghac of land
asking about sucking pest in sesamum,use trizophos 15mlpump
ask about yellowish leaf in paddy,give micronutrient
asking of thrips in sesamum,use imidacloprid 6mlacephate 10gmpump
wilt in wheat,use mancozeb 2530gmpump
wilt in cumin,use mancozeb 2530gmpump
heliothis in chilli,use quinalphos 2530mlpump
sucking pest in sesamum,use imidacloroprid 57mlpump
heliothis in gram,use quinalphos 2530mlpump
for subcidy of tractor,25 subcidy is given
ask for the root rot in sesamum,use of mencozeb 25gmpump
asking from where to get the seeds of sponge gourd,gave the contact noof gujarat state seed agency
asking about contact number of jamalpur seed center,i have given number
asking contact no of aau,give contact no of aau
asking aspected yield of gw 273,aspected yield of gw 273 is 49005300 kgha
subsidy on pump,advice to contect to agri officer
ask for the fertilizer dose of gralic,use of 97 kg amoniam salphathac of land as split dose
asking subsidy on pump,contect to agri officer
asking contact no of gov nursery in gandhinagar district,give contact no of nursery
asking of market price of garlic,advice for give propar price
asking buying of spices in apmc,give proper information
asking of varity of brinjal,use doli5morbi42junagadh lamba
sowing time of alovera,sowing in julyaugust
ask for the market information safflower,give the market price
ask for the irrigation management in wheat crop,use of 6 irrigation in 1520 day interval
asking of varity og moong,use k851gujarat 1234
asking wilt in rice,prfer haxaconasol 20 mlpump
asking of sowing time moong,advice for february to march
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking control for wilt in cumin,advice to use mancozeb powder 35gmpump
sucking pest in moomg,use immidacloprid 7ml  acephate 10gmpump
asking of whitefly in rose,use trizophos 20mlpump
ask about wilt in paddy,use mencozeb 25gmpump
asking of growth of lime,use naa 20mgpump
asking sucking pest in lemon,prefer imidacloprid 7 ml  acifet 10 gmpump
market price of garlic,give proper information
sowing time of watermelon,sowing in decemberjanuary
ask for the varities of moong,use of k851guj1234
asking contact no of of gujarat state seed nigam,give contact no
asking time of sowing of bajara,prefer febmarch
variety of groundnut,gg265
asking about contact no of ggrc,give him contact number of ggrc
asking of fruit droping in coconut,advice to give 24 d 20ml1lit water
asking of root rot in sesamum,use mancozeb 15gmpump
asking wilt in sucking pest,prefer hexachlonazol 20mlpump
sucking pest in sorghum,advice to spray imidacloroprid 57mlpump
asking about seed agency of gandhinagar,i have gandhinagar seed centre number
ask about sucking pest in seasemum,use emida chlopride 5mlacephate 5gmpump
sowing time of moong,sowing in mrch
asking information about getting subsidy on electrical pumpset,it is about 60 or 7000rs and contact to taluka development officer
asking information about getting subsidy on making green house for vegetables,advice to contact to taluka development officer
asking time of sowing of bajara,prefer febmarch
asking sucking pest in moong,prefer imidacloprid 5 ml  acifet 7 gmpump
asking fetriliser in moong,prefer 204000 npk kgha
weed in sesamum,prfer hand weeding at the post emergence time
ask for the contect number of agritols and impmanufecture indnumber,give the contect number
ask about ggrc contact no,give the contact no of ggrc
asking dose of gypsum in 1 hactare,use 25kgha
subsidy on well,contect to tdo
whitegrub in mango,use carbaryl 40ml10 lit water
asking fertiliser in rose,use 50gm npkplant thrice in a year
asking time of sowing of cluster bean,prefer feb-march
ask about creditcard,advice to contact nationalize bank
asking fungus in mango flower,prefer wettable sulfur 35gmpump
asking variety of moong,advice to grow k-851gujmoong-24
asking variety of castor,advice to grow gch-24567
askinfg sucking pest in seasamum,prefer imidacloprid 7 ml acifet 10gmpump
asking yield of onion,15-25 tonnesha
ask about agril  equipment,give propar information  contact no of jau
ask about seed corporation,give propar information
ask forht esab sidy in tractore,sab sidy up to 30 or 45000rs
--------,--------
for control of sucking pest in cucumber,spray imidacloprid 8ml acephate 10gmpump
ask about sucking pest in castor,use imidaclorpride 8 ml  acephate 15 g pump
----,----
asking time of sowig of moong,prefer feb-march
asking soil testing lab in bhavnagar,give him contact number
ask for the medishnalplant purchage ,give the contect number of aau
asking of sowing time of moong,advice for february to march
ask about arduso,give detailed information  advise to contact range forest nursery
ask about blight in cumin,use carbandezim 25gmpump
asking information about getting cleaner machine for wheat,gave the contact noof agriculture tools and implements of ahmedabad
ask for the sab sidy in tractore,sab sidy 45000rs or 30 
asking subsidy in gypsum,prefer 50 subsidy
asking wilt in tulasi,use mencozeb 35gmpump
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking for subsidy of tractor,please contact to the district development officer
ask for wheat storage grain ,use of dy bromid ithelin empule
asking about subsidy on handpump,contect to agri officer
ask about subsidy on cumin,advise to contact agriculture officer
asking wilt in bajara,use hexachlonazol 20mlpump
asking of subcidi in tractor,advice to give 30000rs to 35hp
asking time of sowing of cucumber,prefer feb-march
asking about rain information,no rain
asking harvesting period of safflower,advice to do harvesting when crop is 110-120days
ask for the sab sidy in horticulture plant,contect to disthort officer
ask for the sab sidy in vegetable ,give the contect number of disthortiofficer
asking about district agri officer phone number,give proper information
asking of thrips in moong,use imidacloprid 8mlacephate 10gmpump
--,----
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking about sucking pest in rose,use trizophos 20mlpump
ask about irrigation in moong,as per requirement
asking market price of cumin,give him market price
asking fertiliser dose in banana,advice to use 330gm ammonium sulphate or 140kg urea and 115gm muriate of potash per tree
asking seed corporation of india in ahmedabad,give him contact no
for soil testing laboratary,advice to take sample at soil testing laboratry
asking information about giving irrigation in moong,it require about 4 to 6 irrigation in moong
asking about training,give contact no of university
for rainfall,no rainfall
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
ask for the fertilizer dose of moong,use of 20-40-00 kg npkhac of land
ask for the application of gypsam,soil testing is done
asking about market price of gram,it is about 1700-1900 rsquintal
asking of weed control in farm,use pendimethylin 1kgha
ask about contact no of seed corporation,give contact no of seed corporation  aau
ask for the sab sidy in pipe line,contect to distagri officer
asking information about getting loan on land,advice to contact to nearest nationalised bank
ask fo rht eland holding problem,contect ot mamalat dar office
fertiliser dose of cotton,advice to give 160 kg nitrogen per hac
for contact no of university,give contact noof university
asking sowing time of moong,prefer feb- march
asking fertiliser in split in okra,use 50kgnha at the time of flowering
asking sowing time of ginger,prefer april-may
ask about heliothish in castor,use imidaclorpride 8 ml  acephate 15 g pump
ask soil testing labnumber,give the contect number
ask for hte sab sidy in land leveling,contect to gram sevakand taluka development officer
asking of irrigation in moong,advice to between 15 days 2 irrigation is required
asking loan in agriculture land,advice to give contact to nationalise bank
ask about fertilizer in brinjal,use 50-50-50 npk ha
ask about fertilizer in brinjal,use 505050 npk ha
ask for the mealy bag in cotton,ues of methayl parathion 25kghac of land
----------,-----------
blank call,blank call
----------,-----------
asking of thrips in moong,use imidacloprid 8mlacephate 10gmpump
asking of thrips in moong,use imidacloprid 8mlacephate 10gmpump
asking of thrips in moong,use imidacloprid 8mlacephate 10gmpump
ask about subsidy on tractor,available upto 30000
ask about subsidy on tractor,available upto 30000
ask about subsidy on tractor,available upto 30000
for for irrigation in moong,give irrigation at flowrering stage
for for irrigation in moong,give irrigation at flowrering stage
for for irrigation in moong,give irrigation at flowrering stage
ask for the fertilizer doe of sapota,use of 100-50-50 gm npkplant
ask for the fertilizer doe of sapota,use of 100-50-50 gm npkplant
ask for the fertilizer doe of sapota,use of 1005050 gm npkplant
asking information about getting subsidy on tractor,it is about 45000rs- and contact to taluka development officer or gram sevak
asking information about getting subsidy on tractor,it is about 45000rs and contact to taluka development officer or gram sevak
asking information about getting subsidy on tractor,it is about 45000rs- and contact to taluka development officer or gram sevak
asking information when to give irrigation in castor,advice to irrigation according to the need of the soil
asking information when to give irrigation in castor,advice to irrigation according to the need of the soil
asking information when to give irrigation in castor,advice to irrigation according to the need of the soil
price of tobacco,it is near by 30004000rs per qtl
price of tobacco,it is near by 3000-4000rs per qtl
price of tobacco,it is near by 3000-4000rs per qtl
for control of wilt in moong,use mencozeb 35gmpump
for control of wilt in moong,use mencozeb 35gmpump
for control of wilt in moong,use mencozeb 35gmpump
ask about subsidy on water harvesting,available upto 25
ask about subsidy on water harvesting,available upto 25
ask about subsidy on water harvesting,available upto 25
ask for ht efertilizer dose of bottle gaurd,use of 110 kh dao65 kh urea100 kg ssphac of land
ask for ht efertilizer dose of bottle gaurd,use of 110 kh dao-65 kh urea-100 kg ssphac of land
ask for ht efertilizer dose of bottle gaurd,use of 110 kh dao-65 kh urea-100 kg ssphac of land
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking about sign of defficiency of iron of tick,in plant yallowing of leaves veins remain greenburning of margin and in severe case leaves turn in to white color
asking about sign of defficiency of iron of tick,in plant yallowing of leaves veins remain greenburning of margin and in severe case leaves turn in to white color
asking about sign of defficiency of iron of tick,in plant yallowing of leaves veins remain greenburning of margin and in severe case leaves turn in to white color
ask about farmer insurance,give information  advise to contact agril office
ask about farmer insurance,give information  advise to contact agril office
ask about farmer insurance,give information  advise to contact agril office
weed in moong,prfere hand weeding at the time of post emergence
weed in moong,prfere hand weeding at the time of post emergence
weed in moong,prfere hand weeding at the time of post emergence
asking for honeybee cultivation,advice to contact ananad agriculture university
asking for honeybee cultivation,advice to contact ananad agriculture university
asking for honeybee cultivation,advice to contact ananad agriculture university
asking of market price of gram,advice to 1950 to 2001 rsquintal
asking of market price of gram,advice to 1950 to 2001 rsquintal
asking of market price of gram,advice to 1950 to 2001 rsquintal
ask about subsidy on gypsum,available upto 50
ask about subsidy on gypsum,available upto 50
ask about subsidy on gypsum,available upto 50
ask about weather,give information
ask about weather,give information
ask about weather,give information
urinary clanary in bull,transfer to draswar sir
urinary clanary in bull,transfer to draswar sir
ask about combine harvester loan and subsidy,yes subsidy is available contact ot taluka extention officer
ask about combine harvester loan and subsidy,yes subsidy is available contact ot taluka extention officer
asking time of sowing of of cucumber,prefer feb-march
asking time of sowing of of cucumber,prefer feb-march
asking sowing time of watermelon,advice to grow uptil 15th feburary
asking sowing time of watermelon,advice to grow uptil 15th feburary
asking fertiliser dose in wheat,advice to use 120-60-00 npk kghac
asking fertiliser dose in wheat,advice to use 120-60-00 npk kghac
asking price of wheat,price of wheat 1050-1240 qntha
asking price of wheat,price of wheat 1050-1240 qntha
ask about subsidy on conoweeder,available upto 50
ask about subsidy on conoweeder,available upto 50
ask fo rht ecommodity price of gram,give the commodity price
ask fo rht ecommodity price of gram,give the commodity price
where to get cotton seed,advice to contect to seed agency
where to get cotton seed,advice to contect to seed agency
ask for the irrigation management in in moong,use of 4 to 6 irrigation
ask for the irrigation management in in moong,use of 4 to 6 irrigation
sowing time of paddy,sowing in june-july
sowing time of paddy,sowing in june-july
asking herbicide for weed control,use pendimethelene 1 kgha
asking herbicide for weed control,use pendimethelene 1 kgha
ask about subsidy on conoweeder,available upto 50
ask about subsidy on conoweeder,available upto 50
for control of termites in pots,use chloropyriphose 25mlpump
for control of termites in pots,use chloropyriphose 25mlpump
asking information about soil testing,gave the contact noof soil testing lab
asking information about soil testing,gave the contact noof soil testing lab
ask about jathrofa,give detail information
ask about jathrofa,give detail information
asking subsidy in rotavator,50 subsidy is given
asking subsidy in rotavator,50 subsidy is given
----,----
blank call,blank call
for sowing season of cotton,it can sawn in june-july
for sowing season of cotton,it can sawn in june-july
for sowing season of cotton,it can sawn in june-july
ask about fertilizer in moong,use 20-40-00 npk ha
ask about fertilizer in moong,use 20-40-00 npk ha
ask about fertilizer in moong,use 20-40-00 npk ha
----------,------------
blank call,blank call
----------,------------
asking sowing time of cotton,prefer june-july
asking sowing time of cotton,prefer june-july
asking sowing time of cotton,prefer june-july
asking subsidy in conoweeder,50 subsidy is given
asking subsidy in conoweeder,50 subsidy is given
asking subsidy in conoweeder,50 subsidy is given
ask about termite treament,use imidaclorpride as per requirment
ask about termite treament,use imidaclorpride as per requirment
ask about termite treament,use imidaclorpride as per requirment
asking about jypsum,please contact to the nearest gnfc or gsfc depo
asking about jypsum,please contact to the nearest gnfc or gsfc depo
asking about jypsum,please contact to the nearest gnfc or gsfc depo
asking about heliothis in bajra,use endosulfan 15mlpump
asking about heliothis in bajra,use endosulfan 15mlpump
asking about heliothis in bajra,use endosulfan 15mlpump
asking control for leaf getting yellowish in groundnut,advice to use ferrous sulphate 100gm  citric acid 10gmpump
asking control for leaf getting yellowish in groundnut,advice to use ferrous sulphate 100gm  citric acid 10gmpump
asking control for leaf getting yellowish in groundnut,advice to use ferrous sulphate 100gm  citric acid 10gmpump
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac of land
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac of land
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac of land
asking market price of wheat,give him market price
asking market price of wheat,give him market price
asking market price of wheat,give him market price
asking sucking pest in okra,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in okra,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in okra,prefer imidacloprid 7 ml  acifet 10 gmpump
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
ask for hte contect number of aau,give the contect number
ask for hte contect number of aau,give the contect number
ask for hte contect number of aau,give the contect number
ask about pruning in lemon,do in before monsoon
ask about pruning in lemon,do in before monsoon
ask about pruning in lemon,do in before monsoon
asking of red mite in okra,use dicofol 20mlpump
asking of red mite in okra,use dicofol 20mlpump
asking of red mite in okra,use dicofol 20mlpump
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking sucking pest in seasamum,prefer imidacloprid 7 ml  acifet 10 gmpump
asking thrips in chilli,prefer imidacloprid 7 ml  ascifet 10gmpump
asking thrips in chilli,prefer imidacloprid 7 ml  ascifet 10gmpump
asking thrips in chilli,prefer imidacloprid 7 ml  ascifet 10gmpump
asking contact no of soil testing lab,give contact no
asking contact no of soil testing lab,give contact no
asking contact no of soil testing lab,give contact no
------------,----------
------------,----------
blank call,blank call
asking about subsidy on tractor,advice to contect to agri officer
asking about subsidy on tractor,advice to contect to agri officer
asking about subsidy on tractor,advice to contect to agri officer
blank call,blank call
---------,-------
---------,-------
------------------,-------------
blank call,blank call
------------------,-------------
for fertilizer dose in paddy,give 40kgha ammonium sulphate
asking about cattle loan,please contact to the nationalise bank
ask about certified seed,give detailed information
blank call,blank call
asking about subsidy on cattle farming,advice to contect to agri farming
asking information about getting machines for making tuttyfutty from papaya,gave the contact noof agriculture tools and implements of rajkot
for control of heliothis in brinjal,use endosulphan 20ml10lit
ask about sucking pest iin sesamum,use imidaclorpride 8 ml  acephate 15 g pump
asking contact no of tools nd impliments,give contact no
ask for the fertilizer does of cotton,use of 160 kg n2hac of land
for good growth of moong,spray micronutrient 40gmpump
asking yellowing of leaves of moong,give frequent irrigation
asking of sowing time of cotton,advice to grow june to july
for cultivation of tobacco,give required information
blank call,blank call
ask about subsidy on tractor,available upto 30000
asking wilt in rose,use mencozeb 35gmpump
asking yellowish leaf in moong,give the access irrigation
ask for the cyparas rotundas in field,use of pendimithalin 1 literhac of land
ask for the yellowish of green gram,apply irrigation
ask fo rht esowing time of bajara,sowing in feb-march
blank call,blank call
asking yellowing of moong leaves,give frequent water to plant
ask about problem of land,give propar information
asking of low milk production,use mineral mixturemilkowet tablet
blank call,blank call
ask about conatct no of gurabini,give the contact no
for control of fungus in chilli,us mencozeb 35gmpump
spacing in paddy,2015  30 cm
ask about wilt in seasemum,use mencozeb 25gmpump
asking variety of bottle gourd,prefer pusa summer prolific long and roundpusa navin pusa manjari
ask about sucking pest in moong,use trizophos 15 ml pump
wilt in moong,advice to spray mancozeb 25-30gmpump
sucking pest in moong,advice to spray imidacloroprid 5-7mlpump
asking what type of crop we can grow in our farm,horticultural crop is good
asking buying of soil,agriculture land do not get without farmer
blank call,blank call
ask about variety of okra,parbhanikranti guj okra-2
ask about time of sowing of cotton,prefer jun-july
asking contac no of gujarat state seed corporation,give contact
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking of sowing time in cotton,advice to prefar june to july
asking geting agril land loan,contact to nationalise bank
asking of variety in cotton,use digvijaydevirajgujarat cotton-1112
asking sowing time of cotton,prefer june-july
asking weed problem in jowar,advice to hand weeding
asking wilt in okra,prefer carbendezim 25 gmpump
ask about loan on land,advic to contact to nationalize bank
asking about subsidy of pump set,please contact to the district devlopment officer
asking of mealybag in chinarose,use methyal parathion 25kgha
blank call,blank call
for contact noof university,give contact no of university
asking of sowing time of cotton,prefar to june to july
ask about sowing time of cotton,use guj cot-4681113
ask for the mealy bag in hibiscus,use of methayl parathion 25kg hac of land
for control of sucking pest in moong,use imidacloprid 8ml acephate 10gmpump
asking intercrop in cotton with seasamum,yes
asking for nursery contact number,i have given number
for contact no of nursery,give contact no of nursery
asking contact no of soil testing lab,give him contact number
low milk production,use mineral mixture dan minfa powder
asking contact no of nursery in gandhinagar for mango,give him contact number
asking of thrips in sesamum,use imidacloprid 8mlacephate powder 10gmpump
asking of sowing time of cotton,advice to prefar june to july
ask for hte sowing time of bottle gaurd,sowing in june-julyor feb-march
asking of sowing time of marigold,advice to grown february to march
asking of sowing time in cotton,to prefar june to july
blank call,blank call
ask for the fertilizer dose sugarcane,use of 250-125-125 kg npkhac of land
sucking pest in moong,advice to spray imidacloroprid 5-7mlpump
asking time of sowing of cotton,prefer jun-july
blank call,blank call
ask about contact no of agril uni,give the contact no
asking of sowing time of cotton,to prefar june to july
asking fo yellowish colour in moong,advice to excess water
asking about variety of chilli,use s-49gvc-101111121
blank call,blank call
blank call,blank call
blank call,blank call
asking low milk production,use mineral mixturedaanminfa powder
blank call,blank call
blank call,blank call
asking of sowing time of cotton,to prefar june to july
for control of foot and mouth dieases,call after 930am
for yellowing in moong,use micronutrient 40gmpump
asking control for sucking pest in moong,advice to use imidacloprid 57ml  acefate powder 10gmpump
ask about adress of sbi bank for loan purpose,give the proper advice for loan
ask for hte land holding problem,contect to taluka panchayat
ask for the fertilizer does of watermelon,use of 755050 kg npkhac of land
blank call,blank call
for subcidy of gypsum,25 subcidy is given
market price of cumin,give information
asking control for wilt in sitaphal,advice to use mancozeb powder 35gmpump
blank call,blank call
asking from where to get the seeds of chilli,advice to contact to seed agecncy
for control of fungus in moong,use mencozeb 35gmpump
asking sucking pest in moong,use imidachloprid 7ml acephate 12gmpump
blank call,blank call
ask about termite problem,use imidaclorpride
asking about falling of coconut,advice to grow more than one coconut
ask of subcidi in tractor,advice to give 30000rs to 35hp
asking for subsidy,i have given information
asking information about from where to get the booklet,gave the contact noof anand agriculture university
asking for loan,please contact to the nearest nationalise bank
wilt in moong,advice to spray mancozeb 2530gmpump
ask for the market price of cumin,give the market price
for control of foot and mouth dieases,advice to contact local veterinary doctor
asking about the work of kcc which type of information is given,all agriculture related information
for marketprice of castor,2340 2375 rsqnt
asking of give me a contect no of navagam reserach station,to give the no
blank call,blank call
askin about farming loan,contect to bank
askin about farming loan,contect to bank
askin about farming loan,contect to bank
askin about farming loan,contect to bank
askin about farming loan,contect to bank
subsidy on pump,contect to agri officer
asking information about getting subsidy on horticulture crops,advice to contact to district horticulture department
asking about subsidy on fencing,contect t o forest department
asking for wheat research station,i have given number
asking of sowing time of groundnut,to prefar june
ask for the varities of chilli,use of jvalas49g4gujarat chilli12
asking of sowing time of groundnut,to prefar june to july
ask regarding information of night queen cultivation,give the contect numbre of horticulture univercity
asking about fertiliser in moong,use 2040 kgnpha
asking of sowing time of cotton,to prefar june to july
asking fertiliser in guava,use 500250250gmnpkplant
asking sucking pest in moong,use trizophos 20mlpump
blank call,blank call
for fertilizer dose inpaddy,give 40kgvigha ammonium sulphate
asking nursery phone number,give information
blank call,blank call
asking of loan,advice to contect of bank
blank call,blank call
asking of give contect no of horiculture nursary,information given
asking nursery phone number,give information
ask about market information of cumin,give market price
blank call,blank call
wilt in mango,advice to spray mancozeb 2530gmpump
for fertilizer dose in paddy,give 40kgvigha ammonium sulphate and 18kgvigha urea
asking information about soil testing,gave the contact no of soil testing lab of ahmedabad
asking for navagam contact number,i have given number
asking of sowing time of cotton,to perfar june to july
ask about variety of cotton,use krushi dahn 1 2rashi 2 vikram 5
for control of wilt in moong,use mencozeb 35gmpump
asking about fertilizer dose in sapota at 25th year,advice to use 1000500500gm npktree
ask about sawing time of caotton,junejuly
ask about market yard,give information
asking yellowing of leaves in moong,use 191919 fertiliser
sowing time of turmeric,prfere sowing in may june
blank call,blank call
asking for anand agriuniversity contact number,i have given contact number
for control of sucking pest in moong,use imidacloprid 8mlpump
asking information about getting seeds of ikad,gave the contact no of bhij nigam
asking of sowing time of cotton,to prefar june to july
asking of variety of watermelon,use madhu pusha bahanasugarbaby
asking of sowing time of maize,to prefar june to july
asking of mealybalbag in chinarose,use methilparathion 25kgha
asking of sowing time of cotton,to prefar june to july
asking castor research station phone number,give information
asking contact noof castor research station,blank
